ClubID,ClubName,Address,City,PostalCode,State,Country,Latitude,Longitude,Website,Email,Telephone,Continent
1082077398755,"Woodland Hills Golf Club","592 Day Lake Drive",Midland,31820,GA,USA,32.5865594,-84.8124369,,,,"North America"
1082163681245,"Fort Moore Golf Course","7471 Baltzell Avenue","Fort Moore",31905,GA,USA,32.3588509,-84.9454997,https://moore.armymwr.com/programs/fort-moore-golf-course,,"+1 706-545-0397","North America"
1084731658843,"Pumpkin Ridge Golf Club","12930 Northwest Old Pumpkin Ridge Road","North Plains",97133,OR,USA,45.6135749,-123.0022747,https://www.pumpkinridge.com/,info@pumpkinridge.com,"+1 503-647-4747","North America"
1086472827081,"Lake Shastina Golf Resort","5925 Country Club Drive",Weed,96094,CA,USA,41.5101187,-122.3670757,https://lakeshastinagolf.com/,,"+1 530-938-3201","North America"
1090418254188,"Northdale Golf & Tennis Club","4417 Northdale Boulevard",Tampa,33624,FL,USA,28.1000775,-82.521492,https://www.northdalegolf.com/,reservations@northdalegolf.com,"+1 813-962-0428","North America"
1093214094213,"Blackhawk Country Club","599 Blackhawk Club Dr,",Danville,94506,CA,USA,37.8072543,-121.8857903,https://www.blackhawkcc.org/,,9257366500,"North America"
1095194444641,"El Conquistador Golf","10555 North La Cañada Drive","Oro Valley",85737,AZ,USA,32.4030032,-110.9985148,https://www.elcongolf.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb,,"+1 520-544-1801","North America"
1096471345330,"Half Moon Bay Golf Links","2 Miramontes Point Road","Half Moon Bay",94019,CA,USA,37.434881,-122.440194,https://www.halfmoonbaygolf.com/,,"+1 650-726-1800","North America"
1100995067123,"Witch Golf Links","1900 South Carolina 544",Conway,29526,SC,USA,33.7627733,-79.0242616,https://www.mysticalgolf.com/,,"+1 843-347-2706","North America"
1102952028780,"Grandview at Bay Beach","4142 Bay Beach Lane","Fort Myers Beach",33931,FL,USA,26.4098389,-81.8962597,,,(239)463-2064,"North America"
1107986608120,"Hidden Hills CC","5001 Biffle Road","Stone Mountain",30088,GA,USA,0,0,,,770-981-6641,"North America"
1110481836389,"Stoney Creek Golf Course","1354 Stoney Creek West",Nellysford,22958,VA,USA,37.8959125,-78.8802158,https://www.wintergreenresort.com/,,"+1 434-325-8250","North America"
1111228944220,"Nantucket Golf Club","250 Milestone Road",Nantucket,02554,MA,USA,41.2716948,-69.9812915,https://www.nantucketgolfclub.com/,,"+1 508-257-8500","North America"
1111462747547,"Sweetwater Golf & Country Club","2700 Sweetwater Country Club Drive",Apopka,32712,FL,USA,28.7049066,-81.4611158,https://sweetwater-countryclub.com/,,"+1 407-889-4743","North America"
